
 ~~~ NEW BATCH AUDIT SESSION ~~~
 Room 1                |   GI235                  |    GANESHA IDOL                 |   6                      |    670.0                  |   4020.0                 |    🌹 HIGH Volume / Value 🌹  
 Room 1                |   DL7655                 |    DECORATIVE LIGHT SET         |   9                      |    490.0                  |   4410.0                 |    🌹 HIGH Volume / Value 🌹  
 Room 2                |   234I                   |    CASHEW BUTTER BISCUITS       |   15                     |    10.0                   |   150.0                  |    STANDARD Volume / Value   
 Room 2                |   NT2333                 |    NUTS & SWEETS GIFT BOX       |   3                      |    100.0                  |   300.0                  |    🟡 MEDIUM Volume / Value 🟡  
 ~~~ NEW BATCH AUDIT SESSION ~~~ ROOM    |   ORDER ID   |   ITEM NAME  |  QUANTITY  |  UNIT PRICE  | TOTAL PRICE  |   STATUS  
 Room 1                |   KI2342                 |    KRISHNA IDOL                 |   7                      |    200.0                  |   1400.0                 |    🌹 HIGH Volume / Value 🌹  
 Room 2                |   MG2377                 |    STEEL COFFEE MUGS SET        |   2                      |    150.0                  |   300.0                  |    🟡 MEDIUM Volume / Value 🟡  
 Room 2                |   NB7876                 |    NOTEBOOKS AESTHETIC          |   8                      |    10.0                   |   80.0                   |    STANDARD Volume / Value   
 Room 2                |   CT9988                 |    CLEANING TOWELS - MICROFIBRE    |   9                      |    27.0                   |   243.0                  |    STANDARD Volume / Value   

 ~~~ NEW BATCH AUDIT SESSION ~~~


 ROOM    |   ORDER ID   |   ITEM NAME  |  QUANTITY  |  UNIT PRICE  | TOTAL PRICE  |   STATUS  
 Room 1                |   LD3453                 |    LADOOS                       |   7                      |    10.0                   |   70.0                   |    STANDARD Volume / Value   
 Room 2                |   TR2356                 |    TRAYS                        |   5                      |    150.0                  |   750.0                  |    🌹 HIGH Volume / Value 🌹  
